,state,League,Team,City,Venue,lat,lon
70,New Jersey,NHL,New Jersey Devils,Newark,Prudential Center,40.7335,-74.1693
71,New York,NBA,Brooklyn Nets,New York City,Barclays Center,40.6827,-73.9759
72,New York,MLB,New York Mets,New York City,Citi Field,40.7569,-73.8458
73,New York,NFL,Buffalo Bills,Orchard Park,Highmark Stadium,42.7737,-78.7870
74,New York,NHL,Buffalo Sabres,Buffalo,KeyBank Center,42.8751,-78.8768
75,New York,NBA,New York Knicks,New York City,Madison Square Garden,40.7503,-73.9933
76,New York,NHL,New York Rangers,New York City,Madison Square Garden,40.7503,-73.9933
77,New York,NHL,New York Islanders,Elmont,UBS Arena,40.7118,-73.7260
78,New York,MLB,New York Yankees,New York City,Yankee Stadium,40.8292,-73.9264
79,North Carolina,NFL,Carolina Panthers,Charlotte,Bank of America Stadium,35.2258,-80.8528
80,North Carolina,NHL,Carolina Hurricanes,Raleigh,PNC Arena,35.8020,-78.7198
81,North Carolina,NBA,Charlotte Hornets,Charlotte,Spectrum Center,35.2252,-80.8393
82,Ohio,NFL,Cleveland Browns,Cleveland,FirstEnergy Stadium,41.5061,-81.6994
83,Ohio,MLB,Cincinnati Reds,Cincinnati,Great American Ball Park,39.0975,-84.5067
84,Ohio,NHL,Columbus Blue Jackets,Columbus,Nationwide Arena,39.9682,-83.0037
85,Ohio,NFL,Cincinnati Bengals,Cincinnati,Paycor Stadium,39.0954,-84.5160
86,Ohio,MLB,Cleveland Guardians,Cleveland,Progressive Field,41.4958,-81.6853
87,Ohio,NBA,Cleveland Cavaliers,Cleveland,Rocket Mortgage FieldHouse,41.4966, -81.6884
88,Oklahoma,NBA,Oklahoma City Thunder,Oklahoma City,Paycom Center,35.4636,-97.5156
89,Oregon,NBA,Portland Trail Blazers,Portland,Moda Center,45.5316,-122.6672
90,Pennsylvania,NFL,Pittsburgh Steelers,Pittsburgh,Acrisure Stadium,40.4467,-80.0158
91,Pennsylvania,MLB,Philadelphia Phillies,Philadelphia,Citizens Bank Park,39.9058,-75.1664
92,Pennsylvania,NFL,Philadelphia Eagles,Philadelphia,Lincoln Financial Field,39.9008,-75.1675
93,Pennsylvania,MLB,Pittsburgh Pirates,Pittsburgh,PNC Park,40.4469,-80.0058
94,Pennsylvania,NHL,Pittsburgh Penguins,Pittsburgh,PPG Paints Arena,40.4394,-79.9899
95,Pennsylvania,NHL,Philadelphia Flyers,Philadelphia,Wells Fargo Center, 39.9013,-75.1726
96,Pennsylvania,NBA,Philadelphia 76ers,Philadelphia,Wells Fargo Center, 39.9013,-75.1726
97,Tennessee,NHL,Nashville Predators,Nashville,Bridgestone Arena,36.1592,-86.7791
98,Tennessee,NBA,Memphis Grizzlies,Memphis,FedExForum,35.1384,-90.0510
99,Tennessee,NFL,Tennessee Titans,Nashville,Nissan Stadium,36.1665,-86.7713
100,Texas,NBA,Dallas Mavericks,Dallas,American Airlines Center,32.7906,-96.8103
101,Texas,NHL,Dallas Stars,Dallas,American Airlines Center,32.7906,-96.8103
102,Texas,NBA,San Antonio Spurs,San Antonio,AT&T Center,29.4269,-98.4376
103,Texas,NFL,Dallas Cowboys,Arlington,AT&T Stadium,32.7478,-97.0928
104,Texas,MLB,Texas Rangers,Arlington,Globe Life Field,32.7514,-97.0828
105,Texas,MLB,Houston Astros,Houston,Minute Maid Park,29.7569,-95.3556
106,Texas,NFL,Houston Texans,Houston,NRG Stadium,29.6848,-95.4110
107,Texas,NBA,Houston Rockets,Houston,Toyota Center,29.7505,-95.3573
108,Utah,NBA,Utah Jazz,Salt Lake City,Vivint Arena,40.7684,-111.9016
109,Washington,NHL,Seattle Kraken,Seattle,Climate Pledge Arena,47.6220,-122.3540
110,Washington,NFL,Seattle Seahawks,Seattle,Lumen Field,47.5952,-122.3316
111,Washington,MLB,Seattle Mariners,Seattle,T-Mobile Park,47.5914,-122.3325
112,Wisconsin,MLB,Milwaukee Brewers,Milwaukee,American Family Field,43.0283,-87.9711
113,Wisconsin,NBA,Milwaukee Bucks,Milwaukee,Fiserv Forum,43.0452,-87.9179
114,Wisconsin,NFL,Green Bay Packers,Green Bay,Lambeau Field,44.5014,-88.0622
